district_name,name,category,course,address
강서구,수앤큐수학교습소,입시.검정 및 보습,보습,서울특별시 강서구 우장산로 5-7
강동구,책과연필독서논술교습소,입시.검정 및 보습,보습·논술,서울특별시 강동구 고덕로 133
서대문구,솔리스트성인피아노학원,기예(대),,서울특별시 서대문구 거북골로 192
도봉구,에이치와이(HY)수학교습소,입시.검정 및 보습,,서울특별시 도봉구 노해로69길 26
,유튜브홍티부동산학원,직업기술,부동산,서울특별시 서대문구 신촌역로 16
양천구,목동씨엠에스에이프릴어학원,종합(대),실용외국어(유아/초·중·고),서울특별시 양천구 목동서로 49
종로구,바른생각스터디랩독서실,독서실,독서실(일반인),서울특별시 종로구 수표로 105
서초구,리드인신반포점독서논술교습소,입시.검정 및 보습,,서울특별시 서초구 신반포로 100
강남구,예종이화발레학원,예능(대),,서울특별시 강남구 개포로 265
양천구,오늘은역사논술교습소,입시.검정 및 보습,보습·논술,서울특별시 양천구 목동서로 77
양천구,언어의집독서논술교습소,입시.검정 및 보습,,서울특별시 양천구 목동서로 340
은평구,삼성영어셀레나수색초점영어교습소,입시.검정 및 보습,보습,서울특별시 은평구 수색로 300
강동구,파인즈영어교습소,입시.검정 및 보습,보습,서울특별시 강동구 양재대로 1335
강남구,에더블빌리지가든어학원,국제화,실용외국어(유아/초·중·고),서울특별시 강남구 봉은사로49길 37-5
송파구,아담리즈수학송파센터학원,입시.검정 및 보습,보습,서울특별시 송파구 중대로 68
중구,아이캔두클래스원격교습학원,입시.검정 및 보습,보습,서울특별시 중구 을지로 51
강남구,서울무용학원,예능(대),무용,서울특별시 강남구 선릉로 325
강동구,강의하는아이들강일동캠퍼스학원,입시.검정 및 보습,보습,서울특별시 강동구 아리수로 427
서초구,수엑터레슨연기학원,기예(대),"연기(연극,뮤지컬,오페라)",서울특별시 서초구 강남대로43길 15
강동구,LCA영어학원,입시.검정 및 보습,보습,서울특별시 강동구 고덕로 353
서초구,남경빈영어교습소,입시.검정 및 보습,보습,서울특별시 서초구 서운로11길 34
은평구,와이앤수학교습소,입시.검정 및 보습,보습,서울특별시 은평구 갈현로 159
동대문구,조이피아노음악학원,예능(대),,서울특별시 동대문구 답십리로 145
서초구,교대타임독학재수학원,입시.검정 및 보습,보습·논술,서울특별시 서초구 서초대로 341
성북구,씨투엠사고력수학교습소,입시.검정 및 보습,보습,서울특별시 성북구 숭인로 50
성동구,금호챔버뮤직바이올린·첼로·관현악전문음악학원,예능(대),음악,서울특별시 성동구 금호로 102
광진구,블루밍영어전문학원,입시.검정 및 보습,,서울특별시 광진구 광나루로 546
도봉구,그랑발레학원,예능(대),,서울특별시 도봉구 노해로65길 11
서대문구,까미유끌로델조소학원,예능(대),미술,서울특별시 서대문구 신촌로 7
서초구,엠에이치(MH)수학교습소,입시.검정 및 보습,보통교과,서울특별시 서초구 신반포로 165
강남구,칸관리형독서실,독서실,독서실,서울특별시 강남구 선릉로 227
강남구,칸관리형진학지도교습소,입시.검정 및 보습,,서울특별시 강남구 선릉로 227
강동구,대명하연과학교습소,입시.검정 및 보습,보습,서울특별시 강동구 상암로63길 38
노원구,컬러풀오아시스미술교습소,예능(대),미술,서울특별시 노원구 한글비석로14길 36
강남구,정바다수학교습소,입시.검정 및 보습,보습,서울특별시 강남구 도곡로 423
송파구,수학의자신감수학교습소,입시.검정 및 보습,보습,서울특별시 송파구 송파대로 345
광진구,팀투지연기학원,기타(대),연극,서울특별시 광진구 자양로 149
성동구,현(賢)무용학원,기예(대),,서울특별시 성동구 왕십리로 352-1
서대문구,소행성미술교습소,예능(대),,서울특별시 서대문구 모래내로 385
강동구,인디고차일드잉글리시고덕브랜치학원,입시.검정 및 보습,보습,서울특별시 강동구 동남로81길 50
종로구,바른생각스터디랩챌린저독서실,독서실,독서실(일반인),서울특별시 종로구 돈화문로 26
관악구,신림위드피아노학원,기예(대),실용음악(성악),서울특별시 관악구 신원로 38
강서구,강서로드맵학원,입시.검정 및 보습,,서울특별시 강서구 강서로45나길 47
영등포구,최강성지학원,입시.검정 및 보습,보습,서울특별시 영등포구 신풍로19가길 7
양천구,클래스엑스학원,입시.검정 및 보습,보습·논술,서울특별시 양천구 신월로 366
강서구,토론하는아이들우장산센터논술교습소,입시.검정 및 보습,보습·논술,서울특별시 강서구 강서로 293
중랑구,더엘리트학원,입시.검정 및 보습,보습,서울특별시 중랑구 동일로 802
송파구,르헤브학원,종합(대),실용외국어(유아/초·중·고),서울특별시 송파구 백제고분로32길 21
중랑구,배가이룸학원,입시.검정 및 보습,보습,서울특별시 중랑구 신내로17길 83
중랑구,팩토플러스학원,입시.검정 및 보습,보습,서울특별시 중랑구 동일로157길 30
강서구,생글독서논술교습소,입시.검정 및 보습,보습·논술,서울특별시 강서구 마곡서로 56
