admin_code,admin_name,district_name,area_km2,station_count,station_density,bus_stop_count,bus_stop_density,hospital_count,hospital_density,school_count,school_density,mart_count,mart_density,convenience_count,convenience_density,laundry_count,laundry_density,academy_count,academy_density,park_count,park_density,park_area_sum,park_area_ratio
11230600,답십리1동,동대문구,0.7882418529515669,0.0,0.0,27,34.25344632348392,49.0,62.16366184632267,3.0,3.805938480387102,14,17.761046241806476,17,21.566984722193578,14,17.761046241806476,128,162.38670849651635,0.0,0.0,0.0,0.0
11230610,답십리2동,동대문구,0.8757449522372764,0.0,0.0,20,22.83769943395706,49.0,55.9523636131948,1.0,1.141884971697853,26,29.689009264144175,21,23.97958440565491,8,9.135079773582824,58,66.22932835847547,0.0,0.0,0.0,0.0
11230650,장안1동,동대문구,1.342167468661355,0.0,0.0,27,20.11671466521919,68.0,50.6643184161076,3.0,2.235190518357688,31,23.09696868969611,43,32.03773076312686,31,23.09696868969611,105,78.23166814251908,0.0,0.0,0.0,0.0
11230660,장안2동,동대문구,0.9966402346177041,0.0,0.0,34,34.114617109595095,78.0,78.26294513377698,4.0,4.013484365834717,43,43.14495693272321,40,40.13484365834717,16,16.05393746333887,186,186.62702301131435,0.0,0.0,0.0,0.0
11230705,청량리동,동대문구,1.204398066905949,1.0,0.8302902731892956,24,19.926966556543096,49.0,40.684223386275484,3.0,2.490870819567887,33,27.399579015246754,15,12.454354097839435,9,7.472612458703661,50,41.51451365946478,0.0,0.0,0.0,0.0
11305615,수유1동,강북구,1.6499625850392012,0.0,0.0,39,23.636899620407696,24.0,14.545784381789353,5.0,3.0303717462061153,26,15.7579330802718,23,13.93971003254813,10,6.0607434924122305,43,26.06119701737259,0.0,0.0,0.0,0.0
11305625,수유2동,강북구,0.5816165480676597,1.0,1.7193458530751253,13,22.351496089976628,27.0,46.42233803302838,0.0,0.0,25,42.98364632687813,18,30.948225355352253,7,12.035420971525877,66,113.47682630295827,0.0,0.0,0.0,0.0
11305635,수유3동,강북구,0.7456449650867648,0.0,0.0,24,32.186900098235505,64.0,85.83173359529468,1.0,1.3411208374264794,32,42.91586679764734,35,46.93922930992678,17,22.79905423625015,63,84.4906127578682,0.0,0.0,0.0,0.0
11305645,우이동,강북구,10.587752452786363,3.0,0.2833462543989206,34,3.211257549854433,12.0,1.1333850175956823,1.0,0.09444875146630685,25,2.3612187866576715,23,2.172321283725058,3,0.2833462543989206,30,2.8334625439892056,0.0,0.0,0.0,0.0
11305660,인수동,강북구,2.9980112849936655,1.0,0.33355444824555186,49,16.34416796403204,22.0,7.338197861402141,3.0,1.0006633447366555,24,8.005306757893244,28,9.339524550875451,9,3.0019900342099666,79,26.350801411398596,0.0,0.0,0.0,0.0
11320511,창1동,도봉구,1.1221712116299476,0.0,0.0,21,18.713721919044435,36.0,32.08066614693332,4.0,3.564518460770368,14,12.475814612696288,16,14.258073843081473,8,7.129036921540736,51,45.4476103748222,7.0,6.237907306348144,420268.0,0.3745132611177603
11170510,후암동,용산구,0.8658918469766338,0.0,0.0,16,18.47805826543573,18.0,20.7878155486152,2.0,2.3097572831794664,19,21.942694190204932,18,20.7878155486152,11,12.703665057487065,69,79.68662626969159,1.0,1.1548786415897332,2340.0,0.0027024160213199758
11170520,용산2가동,용산구,1.9668526070899153,1.0,0.508426506589919,27,13.72751567792781,7.0,3.558985546129432,5.0,2.5421325329495947,12,6.101118079079027,17,8.643250612028622,4,2.033706026359676,40,20.337060263596758,0.0,0.0,0.0,0.0
11170530,남영동,용산구,1.177788483819072,4.0,3.3961955435577744,21,17.830026603678316,39.0,33.1129065496883,0.0,0.0,13,11.037635516562766,27,22.924319919014977,4,3.3961955435577744,88,74.71630195827103,1.0,0.8490488858894436,712.0,0.0006045228067532839
